sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,PS,Palestine,country,Middle East and North Africa,31.952162,35.233154,2000,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,PS,Palestine,country,Middle East and North Africa,31.952162,35.233154,2000,2216,1711,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,419,30,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,PS,Palestine,country,Middle East and North Africa,31.952162,35.233154,2000,425,0,0,14,0,0,23,0,11,0,0,0,12,93,1,2,0,269,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,PS,Palestine,country,Middle East and North Africa,31.952162,35.233154,2001,476,2,0,0,0,0,0,0,0,0,0,0,0,439,0,0,0,0,35,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,PS,Palestine,country,Middle East and North Africa,31.952162,35.233154,2001,8646,6944,0,1677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,PS,Palestine,country,Middle East and North Africa,31.952162,35.233154,2001,94,4,0,27,0,0,0,0,0,0,0,0,4,59,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,PS,Palestine,country,Middle East and North Africa,31.952162,35.233154,2002,473,0,0,0,0,0,0,0,0,0,0,0,0,454,0,0,0,0,19,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,PS,Palestine,country,Middle East and North Africa,31.952162,35.233154,2002,6300,5613,0,645,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,PS,Palestine,country,Middle East and North Africa,31.952162,35.233154,2002,307,6,0,260,0,1,0,6,0,0,0,0,3,13,0,11,0,0,7,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,PS,Palestine,country,Middle East and North Africa,31.952162,35.233154,2003,110,13,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,PS,Palestine,country,Middle East and North Africa,31.952162,35.233154,2003,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,PS,Palestine,country,Middle East and North Africa,31.952162,35.233154,2003,742,154,0,0,0,0,0,0,0,0,0,0,0,484,0,0,0,17,87,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,PS,Palestine,country,Middle East and North Africa,31.952162,35.233154,2003,352,0,0,215,0,0,0,0,0,0,0,0,0,7,0,91,0,0,39,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,PS,Palestine,country,Middle East and North Africa,31.952162,35.233154,2003,119,3,0,0,0,0,0,0,0,0,0,0,18,0,0,98,0,0,0,0,0,0,0,0
JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,PS,Palestine,country,Middle East and North Africa,31.952162,35.233154,2003,7354,576,0,217,6,0,28,216,1014,0,22,0,328,307,3239,1396,0,5,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,PS,Palestine,country,Middle East and North Africa,31.952162,35.233154,2004,19,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,PS,Palestine,country,Middle East and North Africa,31.952162,35.233154,2004,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,PS,Palestine,country,Middle East and North Africa,31.952162,35.233154,2004,249,1,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,37,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,PS,Palestine,country,Middle East and North Africa,31.952162,35.233154,2004,172,0,0,0,0,0,0,0,0,0,0,0,0,8,0,130,0,0,34,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,PS,Palestine,country,Middle East and North Africa,31.952162,35.233154,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
