sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,RE,Reunion,country,Sub-Saharan Africa,-21.115141,55.536384,10864.5226277684,1986,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,RE,Reunion,country,Sub-Saharan Africa,-21.115141,55.536384,7902.43525420781,1986,779,0,0,0,0,0,0,0,9,0,2,0,0,12,0,0,0,756,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,RE,Reunion,country,Sub-Saharan Africa,-21.115141,55.536384,8669.79529445475,1986,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,RE,Reunion,country,Sub-Saharan Africa,-21.115141,55.536384,9412.77133384209,1986,2114,136,38,10,11,0,0,113,27,0,0,1405,8,313,39,9,0,4,1,0,0,0,0,0
BW,Botswana,country,Sub-Saharan Africa,-22.328474,24.684866,RE,Reunion,country,Sub-Saharan Africa,-21.115141,55.536384,3187.8682293148,1986,1637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1637,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,RE,Reunion,country,Sub-Saharan Africa,-21.115141,55.536384,11190.8944182826,1986,8164,0,0,0,0,0,0,0,0,0,0,8149,15,0,0,0,0,0,0,0,0,0,0,0
KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,RE,Reunion,country,Sub-Saharan Africa,-21.115141,55.536384,6579.24331590745,1986,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,RE,Reunion,country,Sub-Saharan Africa,-21.115141,55.536384,5684.83959604678,1986,361,345,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,RE,Reunion,country,Sub-Saharan Africa,-21.115141,55.536384,7991.93250697164,1986,195,7,0,7,0,0,0,2,2,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,RE,Reunion,country,Sub-Saharan Africa,-21.115141,55.536384,7931.13601288165,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,RE,Reunion,country,Sub-Saharan Africa,-21.115141,55.536384,8153.20059627139,1986,614,10,0,1,70,5,68,93,3,0,3,0,4,351,0,2,0,4,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,RE,Reunion,country,Sub-Saharan Africa,-21.115141,55.536384,8666.21675811584,1986,22897,22695,0,0,0,0,0,177,14,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,RE,Reunion,country,Sub-Saharan Africa,-21.115141,55.536384,14319.6195055849,1986,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
KM,Comoros,country,Sub-Saharan Africa,-11.875001,43.872219,RE,Reunion,country,Sub-Saharan Africa,-21.115141,55.536384,1613.50564440383,1986,123,0,0,0,0,0,113,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0
CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,RE,Reunion,country,Sub-Saharan Africa,-21.115141,55.536384,7394.7456688139,1986,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,RE,Reunion,country,Sub-Saharan Africa,-21.115141,55.536384,15214.9850618492,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,RE,Reunion,country,Sub-Saharan Africa,-21.115141,55.536384,9635.30298992002,1986,240,137,0,2,0,0,0,0,0,0,0,0,0,84,0,15,0,2,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,RE,Reunion,country,Sub-Saharan Africa,-21.115141,55.536384,5965.36105168777,1986,26,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,RE,Reunion,country,Sub-Saharan Africa,-21.115141,55.536384,9217.20124866306,1986,113668,31234,730,1110,2717,233,301,3932,4867,8,90,7349,1419,3528,9160,15400,1377,13513,18077,0,0,0,0,0
GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,RE,Reunion,country,Sub-Saharan Africa,-21.115141,55.536384,5276.72731410592,1986,680,0,0,0,0,0,0,0,0,0,0,662,0,18,0,0,0,0,0,0,0,0,0,0
HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,RE,Reunion,country,Sub-Saharan Africa,-21.115141,55.536384,14599.9031710055,1986,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
