sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,421728,283504,0,0,0,0,138209,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,5761,0,0,0,0,0,0,0,0,5761,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,2141,9,0,0,0,0,0,0,0,0,0,0,1537,0,0,61,0,534,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,5189,0,0,0,0,0,0,0,0,2605,0,1550,0,0,0,0,0,0,974,60,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,433,0,0,0,0,0,0,0,0,0,0,0,433,0,0,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,3701,0,0,0,0,0,0,292,1769,0,0,0,0,1640,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,285082,284974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,2664,0,0,0,0,0,0,0,2664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,157,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,52415,52096,0,1,0,0,0,2,5,0,1,0,4,9,0,280,0,1,16,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,16039,0,0,0,0,0,0,25,2104,13833,0,0,0,77,0,0,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,12444,6,0,1,0,0,1,5,2,2240,0,0,43,116,0,162,0,9233,15,620,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,49549,0,0,0,0,0,11649,0,32378,0,0,5459,0,0,0,1,0,0,0,62,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,83778,68239,1650,19,0,0,0,0,0,0,207,0,390,1042,4023,421,0,7787,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,30137,0,0,0,0,30,0,0,0,10001,150,17918,2038,0,0,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,14293,0,0,0,0,0,0,0,36,0,50,0,0,14207,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,464,0,0,0,0,0,0,0,0,0,0,0,0,446,0,0,0,18,0,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,456,56,0,0,0,0,0,0,201,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,7801,36,0,1,0,0,10,0,4201,3,0,162,17,2675,286,196,0,0,0,214,0,0,0,0
JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,1719,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,1419,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,1745,0,0,0,0,0,0,0,0,0,0,0,0,1745,0,0,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,3701,0,0,0,0,0,0,0,0,0,0,0,0,3701,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,11375,9,350,0,204,1,8,37,17,0,0,8898,299,155,0,17,2,560,7,813,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,974,0,0,0,0,0
PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,501,0,0,0,0,0,0,0,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,49655,0,22665,0,0,0,0,8037,0,0,0,0,0,2584,0,16282,0,0,0,87,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,619,0,0,0,0,0,0,0,0,0,0,0,144,0,475,0,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,179823,178650,0,0,0,0,0,39,1132,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
LK,Sri Lanka,country,South Asia,7.873054,80.771797,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,7020,0,0,0,0,0,0,0,0,0,0,0,0,7020,0,0,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,203,9,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,174,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,74,0,0,0,0,0,0,0,0,0,0,26,36,12,0,0,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,57161,49100,0,0,0,0,0,0,0,0,0,0,0,8061,0,0,0,0,0,0,0,0,0,0
TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,RO,Romania,country,Europe and Central Asia,45.943161,24.96676,1986,8438,0,0,0,1500,20,255,36,4278,2085,15,0,0,78,30,0,0,141,0,0,0,0,0,0
