sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
WS,Samoa,country,East Asia and Pacific,-13.759029,-172.104629,SB,Solomon Islands,country,East Asia and Pacific,-9.64571,160.156194,3056.24344301015,1986,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,SB,Solomon Islands,country,East Asia and Pacific,-9.64571,160.156194,3286.11015690246,1986,18488,12314,31,334,0,0,0,64,84,0,11,963,42,32,144,3666,0,634,169,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,SB,Solomon Islands,country,East Asia and Pacific,-9.64571,160.156194,15608.8046324612,1986,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,SB,Solomon Islands,country,East Asia and Pacific,-9.64571,160.156194,6159.64844116944,1986,121,1,0,1,0,0,0,3,0,0,0,0,20,0,2,0,0,94,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,SB,Solomon Islands,country,East Asia and Pacific,-9.64571,160.156194,7744.40600069732,1986,385,0,0,6,0,0,0,6,3,0,0,0,2,0,7,4,0,357,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,SB,Solomon Islands,country,East Asia and Pacific,-9.64571,160.156194,5653.06403990095,1986,12,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,SB,Solomon Islands,country,East Asia and Pacific,-9.64571,160.156194,14256.4864320863,1986,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,SB,Solomon Islands,country,East Asia and Pacific,-9.64571,160.156194,2224.10424832739,1986,173,6,0,159,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,SB,Solomon Islands,country,East Asia and Pacific,-9.64571,160.156194,15457.6555004149,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF,French Polynesia,country,East Asia and Pacific,-17.679742,-149.406843,SB,Solomon Islands,country,East Asia and Pacific,-9.64571,160.156194,5512.80763010587,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,SB,Solomon Islands,country,East Asia and Pacific,-9.64571,160.156194,9492.88099637105,1986,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,SB,Solomon Islands,country,East Asia and Pacific,-9.64571,160.156194,15055.6820659815,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,SB,Solomon Islands,country,East Asia and Pacific,-9.64571,160.156194,15252.9963163105,1986,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,SB,Solomon Islands,country,East Asia and Pacific,-9.64571,160.156194,5596.54060164651,1986,174,0,0,0,0,0,0,7,1,0,0,0,0,0,157,6,0,3,0,0,0,0,0,0
