sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,3297.65293210166,1997,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WS,Samoa,country,East Asia and Pacific,-13.759029,-172.104629,SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,17618.1554278279,1997,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,3006.11052434888,1997,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,11234.1631371959,1997,46650,46650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,11973.5528030138,1997,124786,124639,0,0,0,0,86,0,12,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,4124.04534453551,1997,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,6426.18560106151,1997,3158,0,0,0,0,0,0,0,0,0,0,0,3158,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,4796.68508722182,1997,910,50,0,61,0,0,22,0,0,0,14,483,0,76,15,0,0,0,189,0,0,0,0,0
BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,10815.3091924331,1997,90,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0
BN,Brunei Darussalam,country,,4.535277,114.727669,SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,9312.0041168966,1997,95,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,3356.35556752125,1997,63,0,0,0,0,0,12,0,0,0,0,0,15,11,0,0,0,0,25,0,0,0,0,0
KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,8086.43185381319,1997,531,0,0,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,11366.1842844515,1997,52436,52436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,11641.7154931548,1997,115,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,7748.3888228001,1997,2304,29,0,0,1361,0,0,2,18,0,338,0,0,342,196,2,0,0,16,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,9521.40234437771,1997,389,0,0,0,0,0,0,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0,0,0
CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,3959.32695732099,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,11293.746761103,1997,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,SD,Sudan,country,Sub-Saharan Africa,12.862807,30.217636,2499.37911729277,1997,65,1,0,1,0,0,10,10,6,0,13,0,1,17,5,0,0,0,1,0,0,0,0,0
