sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,1986,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,1986,7432,0,0,108,0,0,0,0,0,6,0,5910,0,3,1342,0,0,63,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,1986,158545,0,0,30,95,0,100,2599,5959,121,0,0,9,145340,0,2709,0,1363,0,220,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,1986,7608,266,0,44,0,0,82,399,66,0,0,28,10,3946,0,1285,0,0,1340,142,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,1986,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,1986,51081,1285,268,629,12,14,26,1602,1957,1162,1,817,452,3427,37414,704,0,1298,6,7,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,1986,3189,0,0,8,0,0,0,0,743,0,0,0,20,873,1240,0,0,305,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,1986,3255,0,117,414,0,0,0,2200,433,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,1986,6074,318,830,206,539,0,854,291,516,0,0,18,0,1371,73,720,4,321,0,17,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,1986,15392,29,0,149,8,0,0,333,14409,0,0,0,0,324,0,140,0,0,0,0,0,0,0,0
