sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,1992,73,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,20,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,1992,362250,339683,0,1352,5,73,970,2230,2521,8,21,1456,616,683,1906,8682,65,1297,745,0,2,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,1992,1390,146,73,17,0,0,0,122,18,52,0,359,8,94,105,0,5,392,4,0,0,0,0,0
HR,Croatia,country,Europe and Central Asia,45.1,15.2,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,1992,459861,175719,1062,147234,218,33,663,10444,6207,1520,63,67241,3575,6020,7541,21117,2902,4683,6034,306,181,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,1992,2840,25,0,0,0,0,0,0,0,0,0,0,0,1,0,69,0,351,12,2382,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,1992,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,1992,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,40,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,1992,3372,1818,39,3,45,0,0,185,72,4,0,18,19,73,18,159,0,751,167,1,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,1992,19209,992,52,10421,5,9,91,673,61,566,5,1016,511,538,1557,190,45,1973,290,259,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,1992,2046,0,0,2,0,6,0,667,228,19,0,964,21,63,42,34,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,1992,190272,81927,0,29294,31,147,472,3316,11255,0,28,5350,6,0,48330,792,20,9210,0,114,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,1992,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,1992,54884,10716,1234,18615,173,190,29,3629,8161,392,29,6415,225,592,1568,1593,146,877,350,96,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,1992,504,0,0,0,0,0,0,0,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,1992,12111,119,662,2139,46,2,0,6367,302,32,0,187,312,102,145,195,13,1449,52,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,1992,40,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,18,0,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,1992,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,1992,38,0,0,0,0,0,0,18,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
RO,Romania,country,Europe and Central Asia,45.943161,24.96676,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,1992,772,0,0,0,0,10,0,0,56,0,0,0,0,0,36,0,0,670,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,1992,3660,0,0,71,0,0,0,181,1296,0,0,0,1,0,0,2111,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,1992,531,2,55,6,0,0,0,0,0,0,0,0,4,1,0,0,0,463,0,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,1992,667,1,0,15,0,0,0,0,0,168,1,9,191,210,0,0,0,52,20,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,1992,33422,33203,0,0,23,0,0,0,1,0,0,37,0,0,0,76,0,72,0,10,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,1993,584,6,0,4,1,0,0,0,0,417,0,0,0,0,1,0,0,154,1,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,1993,170339,131366,3,879,14,69,85,2111,3152,5,29,6372,1493,950,2466,15123,31,4653,1569,0,0,0,0,0
