sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AF,Afghanistan,country,South Asia,33.93911,67.709953,SK,Slovak Rep.,country,Europe and Central Asia,48.669026,19.699024,4253.24103341233,1994,48,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,SK,Slovak Rep.,country,Europe and Central Asia,48.669026,19.699024,837.456245083589,1994,1369,15,0,0,0,0,0,0,0,0,1354,0,0,0,0,0,0,0,0,0,0,0,0,0
AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,SK,Slovak Rep.,country,Europe and Central Asia,48.669026,19.699024,7983.74321885388,1994,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,SK,Slovak Rep.,country,Europe and Central Asia,48.669026,19.699024,12687.7934412495,1994,12805,0,0,3,0,65,200,60,618,0,0,11415,0,405,0,0,0,39,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,SK,Slovak Rep.,country,Europe and Central Asia,48.669026,19.699024,13842.417967848,1994,1874,0,0,0,0,0,0,0,0,1462,0,0,0,0,0,0,0,52,0,360,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,SK,Slovak Rep.,country,Europe and Central Asia,48.669026,19.699024,403.681104129486,1994,83358,60916,93,218,5,150,278,793,9991,0,103,3753,978,918,318,4586,0,40,130,88,0,0,0,0
AZ,Azerbaijan,country,Europe and Central Asia,40.143105,47.576927,SK,Slovak Rep.,country,Europe and Central Asia,48.669026,19.699024,2394.3667521138,1994,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,SK,Slovak Rep.,country,Europe and Central Asia,48.669026,19.699024,8447.64325122833,1994,22,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BY,Belarus,country,Europe and Central Asia,53.709807,27.953389,SK,Slovak Rep.,country,Europe and Central Asia,48.669026,19.699024,803.107804439422,1994,499,0,20,0,0,0,0,0,0,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,SK,Slovak Rep.,country,Europe and Central Asia,48.669026,19.699024,1115.79230067346,1994,3564,400,291,203,0,0,1,87,914,3,0,180,566,226,333,92,0,40,226,2,0,0,0,0
BM,Bermuda,country,North America,32.321384,-64.75737,SK,Slovak Rep.,country,Europe and Central Asia,48.669026,19.699024,7003.04264340543,1994,26,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,SK,Slovak Rep.,country,Europe and Central Asia,48.669026,19.699024,9909.35749609004,1994,40843,56,0,0,0,0,0,6,1781,0,36,38142,269,553,0,0,0,0,0,0,0,0,0,0
VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,SK,Slovak Rep.,country,Europe and Central Asia,48.669026,19.699024,8081.48670835732,1994,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,SK,Slovak Rep.,country,Europe and Central Asia,48.669026,19.699024,798.80386751614,1994,3346,6,222,0,0,1,0,734,860,0,1,0,0,153,0,1369,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,SK,Slovak Rep.,country,Europe and Central Asia,48.669026,19.699024,4649.10690536104,1994,181,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,SK,Slovak Rep.,country,Europe and Central Asia,48.669026,19.699024,7345.85757190154,1994,1574,14,0,0,218,0,584,29,0,0,0,238,0,58,0,23,0,399,11,0,0,0,0,0
KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,SK,Slovak Rep.,country,Europe and Central Asia,48.669026,19.699024,9123.59363226774,1994,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
