sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1986,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1991,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0
RO,Romania,country,Europe and Central Asia,45.943161,24.96676,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1991,475,0,0,0,0,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1992,63,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Romania,country,Europe and Central Asia,45.943161,24.96676,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1992,172,0,0,0,0,0,132,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1992,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
ZA,S. Africa,country,Sub-Saharan Africa,-30.559482,22.937506,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1993,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
RO,Romania,country,Europe and Central Asia,45.943161,24.96676,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1993,1088,0,0,0,0,0,36,942,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1994,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,131,0,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1994,215,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1994,555,0,0,0,0,3,12,20,388,48,22,0,0,20,0,42,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1994,243,0,0,0,0,0,30,30,14,0,0,0,0,0,156,0,0,0,13,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1994,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
RO,Romania,country,Europe and Central Asia,45.943161,24.96676,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1994,121,0,0,0,0,31,2,81,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1994,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
ZA,S. Africa,country,Sub-Saharan Africa,-30.559482,22.937506,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1994,180,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1994,83,0,0,0,0,0,0,1,0,0,0,0,51,4,2,12,0,12,1,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1995,28,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1995,189,0,0,0,0,0,0,0,9,0,0,7,0,7,0,0,0,166,0,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1995,34,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1995,378,30,0,77,0,20,0,0,142,14,0,0,46,33,16,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1995,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1995,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1995,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1995,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,0,0,0,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Romania,country,Europe and Central Asia,45.943161,24.96676,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1995,247,0,0,0,0,15,34,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,SM,San Marino,country,Europe and Central Asia,43.94236,12.457777,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
