sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1986,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,1008,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1986,1511,1500,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1986,2116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,2062,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1986,2294,150,0,502,0,0,0,245,63,0,0,252,9,251,18,2,334,0,802,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1986,38,0,0,0,0,0,0,0,4,0,30,0,0,4,0,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1986,76,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1986,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1986,31922,29578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2344,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1986,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1986,1134,0,0,0,0,0,0,0,0,0,0,0,1131,3,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1986,153,0,0,0,0,0,0,2,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1986,5881,99,0,5400,0,0,0,0,15,0,0,0,0,6,0,31,0,308,22,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1986,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1986,136898,105286,3778,61,230,14,682,1888,2786,50,78,228,74,2088,6579,1841,1471,312,10923,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1986,55,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1986,237,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1986,175,0,0,8,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1986,8064,6744,0,0,0,0,0,0,0,0,0,0,0,320,1000,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1986,205,0,0,0,0,0,0,0,0,0,0,0,1,143,0,1,0,0,60,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1986,5444,1406,0,2,0,0,0,2272,16,42,0,0,6,1592,58,50,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1986,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,SN,Senegal,country,Sub-Saharan Africa,14.497401,-14.452362,1986,260,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0
