sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,SO,Somalia,country,Sub-Saharan Africa,5.152149,46.199616,1986,19000,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,SO,Somalia,country,Sub-Saharan Africa,5.152149,46.199616,1986,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,SO,Somalia,country,Sub-Saharan Africa,5.152149,46.199616,1986,14683,4073,0,9860,0,0,0,0,0,0,0,0,0,0,0,0,8,0,750,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,SO,Somalia,country,Sub-Saharan Africa,5.152149,46.199616,1986,13000,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,SO,Somalia,country,Sub-Saharan Africa,5.152149,46.199616,1986,65,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,SO,Somalia,country,Sub-Saharan Africa,5.152149,46.199616,1986,4015,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,SO,Somalia,country,Sub-Saharan Africa,5.152149,46.199616,1986,71,0,0,0,0,0,0,58,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,SO,Somalia,country,Sub-Saharan Africa,5.152149,46.199616,1986,341,0,0,1,0,0,0,0,0,0,0,0,0,119,0,149,0,0,72,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,SO,Somalia,country,Sub-Saharan Africa,5.152149,46.199616,1986,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,SO,Somalia,country,Sub-Saharan Africa,5.152149,46.199616,1986,19300,15054,0,3151,0,0,0,6,0,0,0,0,0,25,1,243,0,12,808,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,SO,Somalia,country,Sub-Saharan Africa,5.152149,46.199616,1986,355,0,0,0,0,0,0,0,102,0,0,0,0,56,0,197,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,SO,Somalia,country,Sub-Saharan Africa,5.152149,46.199616,1986,727,17,0,0,0,0,0,0,53,0,157,0,16,484,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,SO,Somalia,country,Sub-Saharan Africa,5.152149,46.199616,1986,11,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,SO,Somalia,country,Sub-Saharan Africa,5.152149,46.199616,1986,35972,34133,2,26,0,0,1,717,16,0,0,85,5,10,814,162,0,0,1,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,SO,Somalia,country,Sub-Saharan Africa,5.152149,46.199616,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,SO,Somalia,country,Sub-Saharan Africa,5.152149,46.199616,1986,1881,0,160,3,0,0,0,1,21,0,0,0,1475,181,25,11,0,0,4,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,SO,Somalia,country,Sub-Saharan Africa,5.152149,46.199616,1986,4257,4200,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,SO,Somalia,country,Sub-Saharan Africa,5.152149,46.199616,1986,95,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,SO,Somalia,country,Sub-Saharan Africa,5.152149,46.199616,1986,1181,41,0,1,0,0,0,0,2,0,0,0,0,5,828,168,0,0,136,0,0,0,0,0
KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,SO,Somalia,country,Sub-Saharan Africa,5.152149,46.199616,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,SO,Somalia,country,Sub-Saharan Africa,5.152149,46.199616,1986,4996,0,0,0,0,0,0,0,0,0,12,0,0,20,4964,0,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,SO,Somalia,country,Sub-Saharan Africa,5.152149,46.199616,1986,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
LK,Sri Lanka,country,South Asia,7.873054,80.771797,SO,Somalia,country,Sub-Saharan Africa,5.152149,46.199616,1986,148,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0
