sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,1986,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,1986,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,1986,7762,1500,0,200,0,0,0,0,0,68,0,46,0,0,2,0,0,0,5946,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,1986,752,0,0,0,325,0,113,0,0,0,0,0,0,63,111,0,0,0,140,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,1986,1652,0,0,3,1572,0,0,5,11,0,0,0,4,0,0,57,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,1986,31,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,1986,1002,1000,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,1986,36,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,1986,5188,248,0,212,3106,0,0,48,216,0,92,557,111,361,0,0,0,180,57,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,1986,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,1986,45,0,0,3,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,1986,3326,3252,0,2,0,0,0,0,1,0,0,0,1,1,0,39,0,0,30,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,1986,94485,1438,6330,1343,55,0,248,35412,42577,279,12,472,550,5177,83,163,5,53,273,20,0,0,0,0
HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,1986,33337,0,0,15,1341,0,782,111,30608,0,0,0,65,23,386,0,0,0,6,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,1986,2441,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,2416,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,1986,2808,2769,0,3,0,0,0,0,1,0,0,0,0,1,12,22,0,0,0,0,0,0,0,0
