sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,SZ,Swaziland,country,Sub-Saharan Africa,-26.522503,31.465866,9902.89732840139,1997,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,SZ,Swaziland,country,Sub-Saharan Africa,-26.522503,31.465866,8977.73235609803,1997,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0
BW,Botswana,country,Sub-Saharan Africa,-22.328474,24.684866,SZ,Swaziland,country,Sub-Saharan Africa,-26.522503,31.465866,830.611972349206,1997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,SZ,Swaziland,country,Sub-Saharan Africa,-26.522503,31.465866,8671.76085871388,1997,21,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,SZ,Swaziland,country,Sub-Saharan Africa,-26.522503,31.465866,15334.5833366166,1997,550,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TD,Chad,country,Sub-Saharan Africa,15.454166,18.732207,SZ,Swaziland,country,Sub-Saharan Africa,-26.522503,31.465866,4871.67986589206,1997,126,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,SZ,Swaziland,country,Sub-Saharan Africa,-26.522503,31.465866,10314.2926343902,1997,241,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,16,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,SZ,Swaziland,country,Sub-Saharan Africa,-26.522503,31.465866,9447.1391324189,1997,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,262,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,SZ,Swaziland,country,Sub-Saharan Africa,-26.522503,31.465866,9859.1993011626,1997,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,SZ,Swaziland,country,Sub-Saharan Africa,-26.522503,31.465866,8619.65011034836,1997,17988,17300,0,0,0,0,0,0,419,0,0,0,0,98,0,0,0,0,171,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,SZ,Swaziland,country,Sub-Saharan Africa,-26.522503,31.465866,8890.87592289673,1997,3505,3500,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,SZ,Swaziland,country,Sub-Saharan Africa,-26.522503,31.465866,7332.49073143193,1997,231,230,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,SZ,Swaziland,country,Sub-Saharan Africa,-26.522503,31.465866,9688.7466711691,1997,154,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,147,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,SZ,Swaziland,country,Sub-Saharan Africa,-26.522503,31.465866,6418.60823906433,1997,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,SZ,Swaziland,country,Sub-Saharan Africa,-26.522503,31.465866,7858.22637638988,1997,620,1,0,8,0,0,0,7,583,0,0,0,0,19,0,2,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,SZ,Swaziland,country,Sub-Saharan Africa,-26.522503,31.465866,12729.7018465804,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,SZ,Swaziland,country,Sub-Saharan Africa,-26.522503,31.465866,13156.0547783061,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,SZ,Swaziland,country,Sub-Saharan Africa,-26.522503,31.465866,3029.5699767918,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LS,Lesotho,country,Sub-Saharan Africa,-29.609988,28.233608,SZ,Swaziland,country,Sub-Saharan Africa,-26.522503,31.465866,467.849787615884,1997,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,SZ,Swaziland,country,Sub-Saharan Africa,-26.522503,31.465866,1506.35832138084,1997,1755,0,0,0,0,0,0,0,0,1755,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,SZ,Swaziland,country,Sub-Saharan Africa,-26.522503,31.465866,15414.6233324978,1997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MZ,Mozambique,country,Sub-Saharan Africa,-18.665695,35.529562,SZ,Swaziland,country,Sub-Saharan Africa,-26.522503,31.465866,968.998077895905,1997,7456,0,0,0,0,14,0,0,2904,0,0,1148,0,0,3390,0,0,0,0,0,0,0,0,0
NA,Namibia,country,Sub-Saharan Africa,-22.95764,18.49041,SZ,Swaziland,country,Sub-Saharan Africa,-26.522503,31.465866,1369.75095080553,1997,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,SZ,Swaziland,country,Sub-Saharan Africa,-26.522503,31.465866,9120.34635052634,1997,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,SZ,Swaziland,country,Sub-Saharan Africa,-26.522503,31.465866,11635.0637713506,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,SZ,Swaziland,country,Sub-Saharan Africa,-26.522503,31.465866,11168.3462867497,1997,26,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
