sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,TC,Turks and Caicos Islands,country,Latin America and the Caribbean,21.694025,-71.797928,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,TC,Turks and Caicos Islands,country,Latin America and the Caribbean,21.694025,-71.797928,1986,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,TC,Turks and Caicos Islands,country,Latin America and the Caribbean,21.694025,-71.797928,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,TC,Turks and Caicos Islands,country,Latin America and the Caribbean,21.694025,-71.797928,1986,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,TC,Turks and Caicos Islands,country,Latin America and the Caribbean,21.694025,-71.797928,1986,98,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,TC,Turks and Caicos Islands,country,Latin America and the Caribbean,21.694025,-71.797928,1986,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,TC,Turks and Caicos Islands,country,Latin America and the Caribbean,21.694025,-71.797928,1986,61,0,0,0,0,0,0,2,0,0,0,0,0,0,0,53,0,5,1,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,TC,Turks and Caicos Islands,country,Latin America and the Caribbean,21.694025,-71.797928,1986,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,TC,Turks and Caicos Islands,country,Latin America and the Caribbean,21.694025,-71.797928,1986,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,TC,Turks and Caicos Islands,country,Latin America and the Caribbean,21.694025,-71.797928,1986,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,17,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,TC,Turks and Caicos Islands,country,Latin America and the Caribbean,21.694025,-71.797928,1986,59,5,0,17,0,0,0,0,0,0,0,0,0,0,0,21,0,0,16,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,TC,Turks and Caicos Islands,country,Latin America and the Caribbean,21.694025,-71.797928,1986,2394,251,79,91,6,0,4,27,85,0,0,0,0,49,19,1577,0,136,70,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,TC,Turks and Caicos Islands,country,Latin America and the Caribbean,21.694025,-71.797928,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,TC,Turks and Caicos Islands,country,Latin America and the Caribbean,21.694025,-71.797928,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,TC,Turks and Caicos Islands,country,Latin America and the Caribbean,21.694025,-71.797928,1987,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,TC,Turks and Caicos Islands,country,Latin America and the Caribbean,21.694025,-71.797928,1987,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,TC,Turks and Caicos Islands,country,Latin America and the Caribbean,21.694025,-71.797928,1987,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
