sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,10675,0,0,0,0,0,0,0,0,500,0,10175,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,77962,53356,40,159,0,0,6,4,266,3888,130,59,0,6487,177,170,51,99,12426,695,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,2981,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,113,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,14421,195,0,377,1,0,42,156,26,535,50,181,8,33,30,107,0,49,12537,94,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,53,0,0,0,0,0,0,0,0,0,3,34,0,16,0,0,0,0,0,0,0,0,0,0
BN,Brunei Darussalam,country,,4.535277,114.727669,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,29,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,5533,103,33,13,31,0,0,0,139,0,0,0,2,194,0,5,7,0,4846,167,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,97,0,0,0,0,0,0,0,0,0,0,0,0,95,0,2,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,33616,66,5,10,710,343,63,386,759,15578,2052,75,276,1762,20,922,0,36,38,10515,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,3355,0,0,0,0,0,9,2036,59,18,0,294,181,723,6,25,78,0,4,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,297,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,7390,1636,0,0,0,0,5,0,1,0,0,18,0,1390,146,65,63,76,4053,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,338,0,0,0,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,42,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,1964,24,0,6,0,1,9,2,56,0,0,55,30,20,153,1463,26,8,101,36,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,243,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,7939,4,0,0,0,0,1,0,20,5840,35,1526,0,513,0,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,1410,0,0,0,0,0,0,0,0,0,27,0,0,1061,300,0,0,0,0,22,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,1640,0,0,0,0,0,0,0,0,0,0,2,38,1586,0,14,0,0,0,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,520,0,0,0,0,0,0,0,0,520,0,0,0,0,0,0,1499,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,753,8,0,104,0,0,0,0,0,0,0,64,0,37,10,128,0,0,0,402,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,56278,43855,0,452,0,0,77,18,995,0,0,535,18,9180,1006,129,0,0,13,0,0,0,0,0
KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,174,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0
KW,Kuwait,country,Middle East and North Africa,29.31166,47.481766,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,13144,1840,4,22,0,5,477,308,640,27,10,110,197,7800,1538,0,0,0,0,166,0,0,0,0
MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,12142,527,13,8,29,0,0,534,25,0,0,1461,237,2193,418,262,180,27,6270,138,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,13847,0,0,363,147,0,42,156,23,375,50,70,0,0,30,5,0,49,12537,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,178,1,0,0,0,0,0,0,0,0,0,70,0,107,0,0,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,120,7,0,0,0,0,30,0,0,0,0,0,2,45,0,36,0,0,0,0,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,107,0,0,0,0,0,0,0,0,0,0,30,0,0,0,77,0,0,0,0,0,0,0,0
KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,152,38,0,0,0,0,0,0,28,11,0,0,10,56,0,9,129,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,14089,1381,6,33,157,22,136,217,895,14,125,5164,413,2647,1216,1484,0,159,14,6,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,152,0,0,4,0,0,9,4,4,0,0,19,31,0,42,39,0,0,0,0,0,0,0,0
LK,Sri Lanka,country,South Asia,7.873054,80.771797,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,294,0,0,0,0,0,0,0,0,0,5,0,12,6,0,0,0,0,0,271,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,3227,29,0,16,0,2,0,5,0,0,0,0,4,3,50,3,0,20,3095,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,401,0,0,35,0,0,0,1,15,0,0,48,127,20,0,0,0,3,106,46,0,0,0,0
TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,597,0,0,0,0,0,0,0,0,0,0,0,0,597,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,9749,4907,0,135,240,0,0,2,15,22,27,735,94,87,42,2585,46,21,826,11,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,159694,89942,0,58,79,26,56,198,4200,15017,13,37721,191,7654,3009,179,327,162,677,512,0,0,0,0
BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1986,317,0,0,3,0,0,0,0,0,0,0,0,1,0,0,313,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1987,16307,0,0,0,0,0,3,0,0,449,0,15855,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1987,67172,47023,163,137,2,1,5,22,233,1625,189,328,47,12,603,245,63,91,16419,27,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1987,1852,1840,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1987,541,0,0,9,2,0,0,1,8,185,0,140,5,25,0,146,0,0,0,20,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1987,18590,0,0,0,0,0,0,0,39,18420,0,95,0,36,0,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1987,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1987,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1987,4302,286,0,0,80,0,0,0,1429,0,0,0,0,187,327,5,27,0,1841,147,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1987,152,0,0,0,0,0,0,0,8,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1987,70305,1328,8,191,834,485,3,263,853,23719,2283,53,406,2360,47,279,0,38,43,37112,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1987,4145,3,0,0,2,0,17,1646,558,301,0,548,201,757,0,30,32,0,70,12,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1987,404,0,0,0,0,0,0,0,0,0,0,0,17,384,0,3,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1987,7143,2370,0,0,0,0,6,0,0,0,0,0,0,803,103,61,98,7,3793,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1987,560,0,0,0,0,0,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1987,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1987,8686,2957,0,3,0,1,11,3,49,373,0,11,1,30,130,2617,96,8,2436,56,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1987,123,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1987,1035,0,0,0,0,0,2,2,0,614,4,0,0,413,0,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1987,2791,0,0,0,0,0,0,11,0,0,10,0,0,2610,160,0,80,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1987,1929,0,0,3,0,0,0,0,0,0,0,2,30,1864,0,30,0,0,0,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1987,3345,0,0,0,0,0,0,83,0,3262,0,0,0,0,0,0,2264,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1987,368,0,0,4,0,0,0,78,0,0,0,70,0,60,34,122,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,1987,82296,45523,0,256,0,0,80,8,996,2,0,681,14,33453,1093,139,0,0,14,37,0,0,0,0
