sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,TJ,Tajikistan,country,Europe and Central Asia,38.861034,71.276093,1992,10649,10614,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,TJ,Tajikistan,country,Europe and Central Asia,38.861034,71.276093,1992,662,390,0,267,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,TJ,Tajikistan,country,Europe and Central Asia,38.861034,71.276093,1992,8243,8243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,TJ,Tajikistan,country,Europe and Central Asia,38.861034,71.276093,1992,97467,97467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,TJ,Tajikistan,country,Europe and Central Asia,38.861034,71.276093,1992,63098,63034,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,TJ,Tajikistan,country,Europe and Central Asia,38.861034,71.276093,1992,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,TJ,Tajikistan,country,Europe and Central Asia,38.861034,71.276093,1992,38,20,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,TJ,Tajikistan,country,Europe and Central Asia,38.861034,71.276093,1992,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,TJ,Tajikistan,country,Europe and Central Asia,38.861034,71.276093,1992,100,30,0,0,24,0,0,3,0,0,0,0,3,0,20,0,0,20,0,0,0,0,0,0
PK,Pakistan,country,South Asia,30.375321,69.345116,TJ,Tajikistan,country,Europe and Central Asia,38.861034,71.276093,1992,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,TJ,Tajikistan,country,Europe and Central Asia,38.861034,71.276093,1992,43498,42660,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,TJ,Tajikistan,country,Europe and Central Asia,38.861034,71.276093,1992,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,TJ,Tajikistan,country,Europe and Central Asia,38.861034,71.276093,1992,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,TJ,Tajikistan,country,Europe and Central Asia,38.861034,71.276093,1992,58084,58084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,TJ,Tajikistan,country,Europe and Central Asia,38.861034,71.276093,1993,2382,2314,0,59,0,0,0,0,0,0,0,0,0,2,3,0,0,0,4,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,TJ,Tajikistan,country,Europe and Central Asia,38.861034,71.276093,1993,1969,0,0,362,0,0,0,0,0,0,0,0,1537,0,50,0,0,0,20,0,0,0,0,0
HR,Croatia,country,Europe and Central Asia,45.1,15.2,TJ,Tajikistan,country,Europe and Central Asia,38.861034,71.276093,1993,99,43,0,0,0,0,0,0,0,0,0,21,0,35,0,0,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,TJ,Tajikistan,country,Europe and Central Asia,38.861034,71.276093,1993,10094,8868,0,875,0,0,0,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,TJ,Tajikistan,country,Europe and Central Asia,38.861034,71.276093,1993,62062,62049,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,TJ,Tajikistan,country,Europe and Central Asia,38.861034,71.276093,1993,42752,35895,0,6857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
