sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AF,Afghanistan,country,South Asia,33.93911,67.709953,TN,Tunisia,country,Middle East and North Africa,33.886917,9.537499,5297.18078078113,1987,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,TN,Tunisia,country,Middle East and North Africa,33.886917,9.537499,11030.4445486828,1987,50706,0,0,0,0,0,0,0,0,10,0,50496,0,0,200,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,TN,Tunisia,country,Middle East and North Africa,33.886917,9.537499,14619.6246298909,1987,284,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,160,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,TN,Tunisia,country,Middle East and North Africa,33.886917,9.537499,1574.19740366617,1987,1222,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,TN,Tunisia,country,Middle East and North Africa,33.886917,9.537499,7770.27887953464,1987,4113,0,0,0,0,0,0,0,0,4113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,TN,Tunisia,country,Middle East and North Africa,33.886917,9.537499,1895.27900155401,1987,5584,400,0,1048,0,0,0,4,0,0,0,0,0,26,2923,0,33,0,1183,0,0,0,0,0
BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,TN,Tunisia,country,Middle East and North Africa,33.886917,9.537499,2834.15329170303,1987,949,0,0,0,0,0,0,0,0,949,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,TN,Tunisia,country,Middle East and North Africa,33.886917,9.537499,8424.88710195643,1987,41486,0,0,25200,0,0,0,0,0,0,261,13454,425,2135,11,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,TN,Tunisia,country,Middle East and North Africa,33.886917,9.537499,1701.35210937442,1987,2044,0,0,0,0,0,0,0,0,100,0,0,0,550,0,0,0,1394,0,0,0,0,0,0
BF,Burkina Faso,country,Sub-Saharan Africa,12.238333,-1.561593,TN,Tunisia,country,Middle East and North Africa,33.886917,9.537499,2659.97307737399,1987,3495,0,0,0,0,0,0,0,0,3495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
