sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,1986,7603,5017,0,209,0,0,0,2,100,0,0,0,1,272,88,1635,0,233,46,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,1986,5192,82,65,822,0,0,2,192,92,0,0,37,22,70,158,298,76,2977,375,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,1986,5,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,1986,47,33,0,3,0,0,3,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,1986,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,1986,1172,66,0,977,0,3,0,6,2,0,13,1,0,10,26,2,0,64,2,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,1986,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,1986,5192,82,65,822,0,0,2,192,92,0,0,37,22,70,158,298,76,2977,375,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,1986,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,1986,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,1987,7243,4942,0,278,0,2,0,0,106,0,0,0,9,38,122,1545,0,108,93,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,TO,Tonga,country,East Asia and Pacific,-21.178986,-175.198242,1987,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
