sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,1986,227914,185396,0,0,0,0,0,0,0,0,0,0,0,0,42518,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,1986,60762,45679,0,0,0,0,0,0,0,4931,0,0,0,9999,0,0,0,0,0,153,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,1986,1443,242,0,0,0,0,0,0,78,0,0,0,0,1,0,9,102,0,1092,21,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,1986,6914,2,0,2000,0,0,0,0,3,300,6,4053,70,30,4,2,0,80,60,304,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,1986,120226,0,0,117906,0,0,0,0,0,0,0,0,2286,34,0,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,1986,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,1986,1131,0,1091,14,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,19,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,1986,1775,0,0,0,0,30,1740,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,1986,509,0,0,0,0,0,6,3,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,1986,27,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
