sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,TV,Tuvalu,country,East Asia and Pacific,-7.109535,177.64933,5075.94601477671,2001,710,270,1,1,0,0,5,12,15,0,0,45,2,13,11,238,0,78,19,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,TV,Tuvalu,country,East Asia and Pacific,-7.109535,177.64933,7658.66473385149,2001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,TV,Tuvalu,country,East Asia and Pacific,-7.109535,177.64933,1071.40054387714,2001,119,18,4,23,0,0,9,10,1,0,0,0,0,3,5,10,0,13,23,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,TV,Tuvalu,country,East Asia and Pacific,-7.109535,177.64933,15660.9379888116,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,TV,Tuvalu,country,East Asia and Pacific,-7.109535,177.64933,2009.17037252222,2001,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,TV,Tuvalu,country,East Asia and Pacific,-7.109535,177.64933,3771.58967770357,2001,25,1,4,0,0,0,0,4,4,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,TV,Tuvalu,country,East Asia and Pacific,-7.109535,177.64933,14663.4173461512,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,TV,Tuvalu,country,East Asia and Pacific,-7.109535,177.64933,5075.94601477671,2002,2144,684,6,243,0,0,1,61,69,0,0,60,6,90,15,271,0,517,121,0,0,0,0,0
FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,TV,Tuvalu,country,East Asia and Pacific,-7.109535,177.64933,1071.40054387714,2002,673,232,14,152,0,0,0,11,1,0,0,35,6,39,17,88,0,32,46,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,TV,Tuvalu,country,East Asia and Pacific,-7.109535,177.64933,6337.45081335671,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,TV,Tuvalu,country,East Asia and Pacific,-7.109535,177.64933,1397.57675529248,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
