sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,177042,175643,0,0,0,0,0,0,0,259,0,0,136,0,1000,0,0,4,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,678281,374504,26,6339,8812,1,3785,246,1380,81873,2,6451,5,122590,16895,41,9,32627,21357,1347,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,948,0,0,8,0,0,0,23,28,0,0,70,0,19,0,106,0,0,694,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,95892,53719,0,504,2,0,0,8,3228,5342,0,655,3,232,15969,0,0,4985,9999,1246,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,21150,0,0,20732,0,0,0,0,0,124,0,38,180,76,0,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,5824,0,0,0,0,0,0,0,0,5824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,148661,83064,299,316,3566,0,6621,5,5038,0,0,11409,0,841,3779,19,5,16,4080,29608,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,15056,0,0,0,0,0,0,0,14516,4,0,0,0,535,0,0,0,1,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,82330,553,210,233,18187,630,10197,3033,598,2035,364,130,331,28481,15068,315,0,2,1502,361,100,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,61,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,591,0,0,0,0,0,0,0,0,0,0,0,402,0,0,1,0,188,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,9501,36,0,0,0,0,0,40,8,0,0,3,3,219,228,0,36,7,8957,0,0,0,0,0
FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,42000,0,0,42000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,8198,24,0,178,0,1,3,3,1554,2050,0,507,74,189,550,2355,58,64,646,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,521,0,0,0,0,0,0,0,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,6350,0,0,0,0,0,0,0,0,6281,0,0,69,0,0,0,0,0,0,0,0,0,0,0
HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,3216,0,0,0,0,0,0,0,0,3146,0,0,70,0,0,0,0,0,0,0,0,0,0,0
IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,52567,0,0,0,0,2,0,0,0,42972,220,6011,515,2847,0,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,270799,0,0,198389,160,2,2351,0,0,0,150,2002,1872,60001,5835,0,0,0,0,37,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,634,0,0,19,0,0,0,0,0,0,0,0,7,126,0,1,0,0,481,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,1485,0,0,0,0,0,0,0,0,1316,0,169,0,0,0,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,1060,87,0,145,0,322,0,23,125,0,0,16,1,306,14,20,0,1,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,690880,1245,12,1098,0,33,427,473,837,1190,48,16383,230,655787,11934,1012,57,5,51,45,70,0,0,0
KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,226,0,0,0,0,0,0,0,0,0,0,0,86,140,0,0,0,0,0,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,144,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,21214,131,89,48,0,36,0,77,9,0,1,7048,308,3813,2519,8,34,1,7126,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,102164,53719,0,504,0,0,0,51,3207,5317,0,0,0,6,15740,0,0,4984,17390,1246,0,0,0,0
NG,Nigeria,country,Sub-Saharan Africa,9.081999,8.675277,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,184,0,0,0,0,0,0,0,0,0,0,125,0,29,30,0,0,0,0,0,0,0,0,0
PG,Papua New Guinea,country,East Asia and Pacific,-6.314993,143.95555,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,750,0,0,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PY,Paraguay,country,Latin America and the Caribbean,-23.442503,-58.443832,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,70,0,0,0,0,0,0,3,0,40,0,0,27,0,0,0,0,0,0,0,0,0,0,0
PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,811,0,0,0,0,0,0,0,0,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,97855,102,1644,66515,0,6,17602,4,52,41,0,1635,150,8755,1172,0,0,0,118,0,59,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,22,0,0,0,10,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,16603,458,380,15,0,2,0,2080,7568,3826,2,0,254,1926,0,46,4,46,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,20980,469,0,5,1955,112,2303,406,342,65,633,240,739,7631,3694,19,0,115,2252,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,1683,0,0,34,0,40,3,1000,334,0,0,1,65,61,10,135,0,0,0,0,0,0,0,0
LK,Sri Lanka,country,South Asia,7.873054,80.771797,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,921,0,0,0,0,0,623,0,0,0,0,0,34,240,0,0,0,0,24,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,4931,2,0,8,0,0,0,15,8,0,0,1455,0,1,2,0,0,2675,765,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,1282,0,0,50,0,0,0,0,59,0,0,2,39,117,0,0,0,0,1015,0,0,0,0,0
SY,Syrian Arab Rep.,country,Middle East and North Africa,34.802075,38.996815,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,38,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,374300,154584,80571,59957,13681,114,14166,95,604,1079,85,21947,18,25655,1019,0,0,0,625,0,100,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,20,11,0,0,2,0,0,3,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,834,0,0,0,0,0,0,0,15,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,5508,900,0,105,980,0,18,13,14,180,0,523,100,879,128,1537,21,20,98,13,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,5976406,3868695,1385,470,8565,1894,1737664,15497,79041,45551,74,71267,775,15814,22388,2404,148,2257,4825,97840,0,0,0,0
UY,Uruguay,country,Latin America and the Caribbean,-32.522779,-55.765835,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,35445,0,0,0,0,0,34997,0,144,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VE,Venezuela,country,Latin America and the Caribbean,6.42375,-66.58973,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1986,215,0,0,2,0,0,0,0,0,203,0,0,0,10,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1987,79052,78740,0,0,0,0,0,0,0,158,0,150,2,0,0,0,0,2,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1987,583678,422161,0,10039,8595,10,437,154,1669,70058,0,12120,30,2,2211,165,51,36032,19850,145,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1987,767,0,0,10,0,0,0,0,19,0,0,107,9,33,0,587,0,0,2,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1987,9187,13,14,0,7,0,0,15,22,7240,0,1202,3,293,14,187,0,0,148,29,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1987,42985,0,0,0,0,0,0,0,116,42256,0,62,285,202,64,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1987,2647,0,0,0,0,0,0,0,0,2647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1987,226726,155655,626,277,2885,0,4982,116,3750,0,0,25682,0,1603,2827,39,12,790,1422,26072,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1987,21250,0,0,0,0,0,0,2,20707,4,0,0,0,537,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1987,92079,967,204,557,15283,2802,6067,2303,3980,1449,825,260,353,46910,8151,719,0,5,805,395,44,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1987,775,0,0,0,0,0,0,244,119,0,0,0,3,187,0,219,0,3,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1987,305,0,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,1987,751,0,0,0,0,0,0,0,0,0,0,0,748,0,0,3,0,0,0,0,0,0,0,0
