sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,10313.7915558595,1995,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,10602.9291351931,1995,18,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,6322.99578617761,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,6973.71769386415,1995,12903,5286,0,3245,0,0,3000,0,3,0,0,142,0,19,466,704,0,0,38,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,9502.74287334524,1995,18624,0,0,17224,0,0,0,0,0,0,0,0,0,0,1400,0,0,0,0,0,0,0,0,0
BN,Brunei Darussalam,country,,4.535277,114.727669,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,8955.00850556826,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,13536.3411974762,1995,2646,27,3,1,5,0,0,2502,17,0,0,2,0,41,5,39,5,1,3,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,9189.90783033,1995,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,8606.43443094441,1995,2537,2,0,0,2442,0,3,0,34,0,0,0,1,30,14,2,0,0,9,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,7349.50947559133,1995,1401,494,0,0,0,0,1,0,0,548,0,0,0,8,188,162,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,3720.83567807843,1995,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,1835.40160399805,1995,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,6689.34096808338,1995,1787,1434,0,180,1,0,0,0,0,0,0,0,0,147,0,0,0,0,25,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,6818.53688253849,1995,6821,1771,1,2003,1,0,218,2,1,0,1,21,7,101,2596,42,0,0,56,0,0,0,0,0
GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,4293.51682319864,1995,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,5235.09550384861,1995,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,6149.10243642149,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,5676.9533030705,1995,11433,11140,0,88,1,0,0,0,0,0,21,9,0,14,0,89,0,0,60,11,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,8795.67576146202,1995,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,7784.22698619876,1995,46,0,0,0,0,0,0,0,0,0,0,0,0,15,18,0,0,0,13,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,4165.02942721113,1995,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,5829.91280753924,1995,16159,11442,0,13,2799,0,0,3,1398,0,0,325,4,95,3,75,0,0,2,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,11636.1896727597,1995,49025,48283,0,0,0,0,0,735,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0
JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,4116.23915635325,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,781.870473537203,1995,26233,1228,3,128,0,6,0,2,15,5,2,41,96,1105,786,22763,0,10,42,1,0,0,0,0
LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,4478.86362981086,1995,319,309,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,769.164861185175,1995,1139,30,0,1070,0,0,0,0,0,0,0,0,0,0,0,6,1,0,33,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,7548.1426213546,1995,29165,1050,0,0,0,0,0,0,0,0,0,0,0,437,27678,0,0,0,0,0,0,0,0,0
MU,Mauritius,country,Sub-Saharan Africa,-20.348404,57.552152,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,2899.55499527321,1995,1097,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MZ,Mozambique,country,Sub-Saharan Africa,-18.665695,35.529562,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,1370.62077625597,1995,4743,1056,0,3037,0,0,500,0,0,0,0,0,0,131,0,19,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,7092.46537743914,1995,3829,2,0,1584,62,0,12,0,1,0,3,83,7,38,15,1417,4,1,603,1,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,13378.8503298,1995,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0
NI,Nicaragua,country,Latin America and the Caribbean,12.865416,-85.207229,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,13436.2821742384,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NG,Nigeria,country,Sub-Saharan Africa,9.081999,8.675277,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,3378.87861511752,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,7791.64171809053,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OM,Oman,country,Middle East and North Africa,21.512583,55.923255,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,3860.97953406752,1995,45,21,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
PK,Pakistan,country,South Asia,30.375321,69.345116,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,5498.22977187275,1995,1489,902,0,544,0,1,0,0,0,33,0,0,0,9,0,0,0,0,0,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,6751.06513842907,1995,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,10692.7586614001,1995,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RW,Rwanda,country,Sub-Saharan Africa,-1.940278,29.873888,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,743.582897904575,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA,Saudi Arabia,country,Middle East and North Africa,23.885942,45.079162,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,3545.22603432221,1995,33942,33909,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,7707.06781402635,1995,7051,0,0,1,0,0,0,0,0,0,0,0,0,845,6205,0,0,0,0,0,0,0,0,0
ZA,S. Africa,country,Sub-Saharan Africa,-30.559482,22.937506,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,2968.43958012793,1995,28141,5518,0,13115,0,0,0,0,82,0,0,3561,0,144,2,5637,0,0,82,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,6541.15950528669,1995,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,1,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,7539.2633203714,1995,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,6479.27928179945,1995,94,1,0,0,0,0,0,0,0,0,0,0,1,4,0,25,0,0,63,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,7691.05370068,1995,13808,6750,0,7004,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,5046.5538509265,1995,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
UG,Uganda,country,Sub-Saharan Africa,1.373333,32.290275,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,908.966111317219,1995,22,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
AE,United Arab Emirates,country,Middle East and North Africa,23.424076,53.847818,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,3905.04117961911,1995,33367,24641,11,4113,1,4,6,109,553,11,142,0,10,561,2266,308,4,7,624,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,7726.62941024595,1995,7973,97,0,6580,0,0,3,11,20,108,2,372,16,213,79,302,0,3,167,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,13987.2584916769,1995,59240,53394,0,2,3654,0,2,1807,33,0,0,0,1,43,2,261,0,3,38,0,0,0,0,0
VN,Vietnam,country,East Asia and Pacific,14.058324,108.277199,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,8415.93515666686,1995,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YE,Yemen,country,Middle East and North Africa,15.552727,48.516388,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,2865.85589430864,1995,9,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,1078.32691907493,1995,4935,500,0,4362,0,0,0,0,0,0,0,0,0,39,0,0,2,0,34,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,TZ,Tanzania,country,Sub-Saharan Africa,-6.369028,34.888822,1538.76808454759,1995,865,30,0,201,0,0,0,0,0,0,0,0,0,468,0,0,0,7,159,0,0,0,0,0
