sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,1992,38,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,1992,65972,59080,0,26,0,0,3,0,173,0,0,0,1070,37,0,5415,0,78,90,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,1992,58525,52417,0,5141,0,0,0,0,23,0,0,25,153,13,0,445,0,300,8,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,1992,57911,20362,0,35215,0,1,1,1570,1,0,0,0,0,166,1,265,0,322,7,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,1992,30,3,0,0,0,0,0,0,0,0,0,16,0,8,0,3,0,0,0,0,0,0,0,0
HR,Croatia,country,Europe and Central Asia,45.1,15.2,UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,1992,499,484,0,2,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,1992,3393,3025,0,0,0,0,0,0,10,0,0,21,17,0,65,69,9,186,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,1992,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,1992,50,4,0,0,0,0,0,0,8,0,0,0,14,0,0,24,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,1992,124500,123256,0,87,0,0,2,1,0,0,0,1,361,0,1,786,0,0,5,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,UA,Ukraine,country,Europe and Central Asia,48.379433,31.16558,1992,353657,340328,39,4611,0,2,1,15,256,0,1,0,3896,1078,82,3047,0,188,113,0,0,0,0,0
