sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,US,USA,country,North America,37.09024,-95.712891,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,US,USA,country,North America,37.09024,-95.712891,1986,269321,78617,0,10023,445,0,836,2552,17747,1347,0,14141,16565,1114,81214,2536,0,38574,3610,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,US,USA,country,North America,37.09024,-95.712891,1986,2476860,255,0,159826,2061,406,8850,127,1101881,31413,9,532,474,789749,1641,28789,0,325517,6596,18734,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,US,USA,country,North America,37.09024,-95.712891,1986,6249,1041,0,3329,0,0,1,262,58,0,0,3,1260,40,0,221,0,0,34,0,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,US,USA,country,North America,37.09024,-95.712891,1986,1606,3,0,20,0,0,0,15,214,0,0,0,0,216,0,512,2,6,620,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,US,USA,country,North America,37.09024,-95.712891,1986,2541,0,0,0,0,0,0,31,0,0,0,0,323,0,0,0,0,2187,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,US,USA,country,North America,37.09024,-95.712891,1986,13422,0,0,12956,0,0,0,0,0,0,0,0,0,66,0,400,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,US,USA,country,North America,37.09024,-95.712891,1986,328747,45668,0,6323,359,57,31,15337,41464,10282,5,271,5720,1310,136,1782,0,192655,7256,91,0,0,0,0
BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,US,USA,country,North America,37.09024,-95.712891,1986,61036,0,0,52806,0,0,0,422,7515,0,2,0,86,95,0,0,0,100,10,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,US,USA,country,North America,37.09024,-95.712891,1986,1208050,2315,389,403555,0,19500,101,1021,421259,5683,10339,4467,231460,65667,41793,290,0,0,211,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,US,USA,country,North America,37.09024,-95.712891,1986,7467,0,0,0,0,0,0,23,7,0,0,0,0,6311,0,1,0,0,1125,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,US,USA,country,North America,37.09024,-95.712891,1986,2035,0,0,0,0,0,0,0,0,0,0,0,1379,651,0,5,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,US,USA,country,North America,37.09024,-95.712891,1986,3417636,886720,200615,363897,13025,1735,159165,157204,80632,998,3065,550985,58154,149058,67443,392616,9184,308959,9677,13688,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,US,USA,country,North America,37.09024,-95.712891,1986,311509,181,0,572,377,0,73,10114,291273,814,637,53,165,5121,0,2073,0,3,40,13,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,US,USA,country,North America,37.09024,-95.712891,1986,109365,10607,1018,2790,1491,1509,10042,45147,3233,1909,1780,36,1354,23245,718,3587,0,13,886,0,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,US,USA,country,North America,37.09024,-95.712891,1986,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,US,USA,country,North America,37.09024,-95.712891,1986,141775,7279,49,19215,418,0,2130,90291,12279,50,118,8,1373,6558,378,791,3,370,464,4,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,US,USA,country,North America,37.09024,-95.712891,1986,1040732,3212,15,246819,30,0,20,1112,595823,57,126,0,133244,59245,0,989,0,40,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,US,USA,country,North America,37.09024,-95.712891,1986,655418,330,8428,76777,0,55,487,6614,491973,0,192,1,26169,9555,8,2,0,34824,3,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,US,USA,country,North America,37.09024,-95.712891,1986,538,82,0,0,4,0,0,3,2,0,0,0,9,270,0,61,0,0,107,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,US,USA,country,North America,37.09024,-95.712891,1986,188630,30013,0,4800,2,0,0,27,3037,0,3,62,371,3701,335,5138,0,130005,11136,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,US,USA,country,North America,37.09024,-95.712891,1986,13436,0,2041,2940,0,0,45,216,23,3810,2184,0,0,2166,0,11,0,0,0,0,0,0,0,0
FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,US,USA,country,North America,37.09024,-95.712891,1986,14691,96,1,14000,0,0,85,0,105,0,375,0,1,28,0,0,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,US,USA,country,North America,37.09024,-95.712891,1986,148544,132134,0,541,0,0,0,0,0,0,0,0,1442,29,0,2089,0,1228,11072,9,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,US,USA,country,North America,37.09024,-95.712891,1986,105009,5357,31,22870,5,29,2593,4579,13672,438,1354,2148,9487,5169,241,36266,0,313,11,429,17,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,US,USA,country,North America,37.09024,-95.712891,1986,53742,1260,2,226,11,10,2816,13263,11378,0,0,0,137,20055,1012,3037,0,2,533,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,US,USA,country,North America,37.09024,-95.712891,1986,572,0,0,0,0,0,0,0,0,0,0,566,0,6,0,0,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,US,USA,country,North America,37.09024,-95.712891,1986,627867,11,194,204188,57,0,3665,22232,295466,570,1022,50,91388,5719,0,107,0,3198,0,0,0,0,0,0
HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,US,USA,country,North America,37.09024,-95.712891,1986,735176,12,96,64531,21,3,1735,13961,616403,0,361,97,24985,2966,0,0,0,10005,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,US,USA,country,North America,37.09024,-95.712891,1986,19317,346,0,198,0,13,0,906,1610,0,589,0,376,1,0,649,0,14190,439,0,0,0,0,0
IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,US,USA,country,North America,37.09024,-95.712891,1986,1095,0,0,0,0,0,0,0,0,0,0,356,0,0,0,108,0,18,613,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,US,USA,country,North America,37.09024,-95.712891,1986,100131,8848,5,32,809,13808,5433,1184,348,3601,22774,311,16594,25792,0,467,0,125,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,US,USA,country,North America,37.09024,-95.712891,1986,614298,188,0,4500,0,451,109,1206,5544,0,23520,0,85991,452720,40063,0,0,6,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,US,USA,country,North America,37.09024,-95.712891,1986,41582,339,0,398,98,0,0,7,28,0,0,98,4141,5859,0,28915,0,1060,639,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,US,USA,country,North America,37.09024,-95.712891,1986,67818,2061,27,848,0,0,1256,37505,20907,354,116,0,485,339,31,1232,0,1340,1317,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,US,USA,country,North America,37.09024,-95.712891,1986,398120,56598,4,3835,22,3992,177,67337,4843,338,36,118,3424,12331,29722,206536,0,169,8628,10,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,US,USA,country,North America,37.09024,-95.712891,1986,56297,256,679,17025,7,40,54,8899,6576,2,476,13602,158,1624,18,5643,0,0,1238,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,US,USA,country,North America,37.09024,-95.712891,1986,3937510,6538,206,840,4,2,4706,2317,17981,127,56,383,1237,3865621,3309,34106,0,74,3,0,0,0,0,0
JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,US,USA,country,North America,37.09024,-95.712891,1986,33,0,0,0,0,0,0,0,18,0,5,0,0,3,0,0,0,0,7,0,0,0,0,0
KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,US,USA,country,North America,37.09024,-95.712891,1986,29069,150,0,2,81,279,0,0,0,0,0,0,27563,917,0,67,0,0,0,10,0,0,0,0
KW,Kuwait,country,Middle East and North Africa,29.31166,47.481766,US,USA,country,North America,37.09024,-95.712891,1986,75,7,0,0,5,0,2,0,15,0,7,0,0,0,1,38,0,0,0,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,US,USA,country,North America,37.09024,-95.712891,1986,20333,0,0,12820,0,33,0,0,0,0,0,0,958,6522,0,0,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,US,USA,country,North America,37.09024,-95.712891,1986,608223,47,167,0,0,0,1,0,10935,16,923,2022,8070,136894,449057,65,0,5,0,0,21,0,0,0
MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,US,USA,country,North America,37.09024,-95.712891,1986,2797214,17138,9925,263766,18337,10672,37127,1532892,340040,67831,17691,7437,153795,57269,605,259844,3,2468,377,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,US,USA,country,North America,37.09024,-95.712891,1986,5408,0,0,0,0,15,1207,1385,34,0,2124,0,0,589,0,54,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,US,USA,country,North America,37.09024,-95.712891,1986,490649,2346,873,22603,99,47,865,9425,1845,291,3417,1119,34281,37796,4379,354615,0,3996,12650,2,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,US,USA,country,North America,37.09024,-95.712891,1986,324326,43833,0,342,216,0,0,1719,45431,14753,0,70,7,0,159,3389,0,188232,26174,1,0,0,0,0
NG,Nigeria,country,Sub-Saharan Africa,9.081999,8.675277,US,USA,country,North America,37.09024,-95.712891,1986,3753,0,0,0,0,578,0,0,0,0,15,29,2971,146,14,0,0,0,0,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,US,USA,country,North America,37.09024,-95.712891,1986,11921,755,0,3,0,20,1,3,21,2,0,1229,31,586,0,1839,0,0,7430,1,0,0,0,0
OM,Oman,country,Middle East and North Africa,21.512583,55.923255,US,USA,country,North America,37.09024,-95.712891,1986,39,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,US,USA,country,North America,37.09024,-95.712891,1986,322065,5,0,79392,0,0,0,108,233198,0,107,0,7390,1114,0,473,0,7,271,0,0,0,0,0
PG,Papua New Guinea,country,East Asia and Pacific,-6.314993,143.95555,US,USA,country,North America,37.09024,-95.712891,1986,27766,0,0,10780,0,0,0,0,0,0,0,0,10520,30,5918,518,0,0,0,0,0,0,0,0
PY,Paraguay,country,Latin America and the Caribbean,-23.442503,-58.443832,US,USA,country,North America,37.09024,-95.712891,1986,27711,0,0,10400,0,0,17000,2,0,0,0,0,6,303,0,0,0,0,0,0,0,0,0,0
PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,US,USA,country,North America,37.09024,-95.712891,1986,107615,255,0,58639,1519,3,7,919,582,28,108,727,41214,2902,0,712,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,US,USA,country,North America,37.09024,-95.712891,1986,1004928,2022,269,217463,5,0,33974,508,159523,8426,34,44,23314,12102,543240,4002,0,1,0,1,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,US,USA,country,North America,37.09024,-95.712891,1986,46037,0,0,226,0,0,0,703,3180,0,0,0,0,12,3286,509,0,37030,1091,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,US,USA,country,North America,37.09024,-95.712891,1986,45323,325,20,36,98,122,443,18763,352,2,58,33,668,1117,545,20291,0,0,2450,0,0,0,0,0
KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,US,USA,country,North America,37.09024,-95.712891,1986,30063,5208,22,680,82,127,1073,3964,6710,2,505,0,476,9185,2,2020,0,7,0,0,0,0,0,0
RE,Reunion,country,Sub-Saharan Africa,-21.115141,55.536384,US,USA,country,North America,37.09024,-95.712891,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,US,USA,country,North America,37.09024,-95.712891,1986,83474,250,72,238,0,58,66,3,9562,649,1660,0,52602,3954,10164,4195,0,1,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,US,USA,country,North America,37.09024,-95.712891,1986,241509,3468,3,5238,1,94,51461,67118,53547,19,6090,3,453,4507,13238,36195,0,2,72,0,0,0,0,0
LK,Sri Lanka,country,South Asia,7.873054,80.771797,US,USA,country,North America,37.09024,-95.712891,1986,44673,0,0,11,0,38,2343,4,2,0,1114,0,7661,8576,24911,0,0,0,0,13,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,US,USA,country,North America,37.09024,-95.712891,1986,289719,254901,0,2679,0,0,6,82,273,10,0,4,1928,1864,351,12957,0,12380,1545,739,0,0,0,0
