sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,UY,Uruguay,country,Latin America and the Caribbean,-32.522779,-55.765835,967.268583004894,1986,88290,60850,432,95,140,0,716,55,509,3535,57,9681,7312,1433,2935,111,0,60,23,346,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,UY,Uruguay,country,Latin America and the Caribbean,-32.522779,-55.765835,13524.364407614,1986,26142,25950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,UY,Uruguay,country,Latin America and the Caribbean,-32.522779,-55.765835,16584.9903924115,1986,599,0,0,0,0,0,0,0,0,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,UY,Uruguay,country,Latin America and the Caribbean,-32.522779,-55.765835,10970.3746805339,1986,82,2,0,0,20,0,0,0,0,35,0,0,0,11,0,0,0,14,0,0,0,0,0,0
BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,UY,Uruguay,country,Latin America and the Caribbean,-32.522779,-55.765835,1971.58485333897,1986,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,UY,Uruguay,country,Latin America and the Caribbean,-32.522779,-55.765835,2072.76772529207,1986,49391,0,1130,71,0,13,6,8,34978,766,76,8,11193,842,161,58,0,51,29,1,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,UY,Uruguay,country,Latin America and the Caribbean,-32.522779,-55.765835,8455.45955934835,1986,70,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,UY,Uruguay,country,Latin America and the Caribbean,-32.522779,-55.765835,10966.3092858125,1986,14942,0,14742,0,200,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,UY,Uruguay,country,Latin America and the Caribbean,-32.522779,-55.765835,1494.24516616872,1986,5000,2000,0,0,606,177,0,456,779,13,0,20,6,499,0,65,0,0,25,354,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,UY,Uruguay,country,Latin America and the Caribbean,-32.522779,-55.765835,18532.3094784223,1986,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,UY,Uruguay,country,Latin America and the Caribbean,-32.522779,-55.765835,18158.8484648582,1986,35,1,0,0,0,0,0,0,0,30,4,0,0,0,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,UY,Uruguay,country,Latin America and the Caribbean,-32.522779,-55.765835,19004.0545813458,1986,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,UY,Uruguay,country,Latin America and the Caribbean,-32.522779,-55.765835,4570.31055838322,1986,43,0,0,0,0,0,0,0,0,0,0,0,42,1,0,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,UY,Uruguay,country,Latin America and the Caribbean,-32.522779,-55.765835,6456.21420430196,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
