sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,1986,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,1986,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,1986,572,168,37,9,5,1,0,5,1,0,3,0,0,36,268,37,76,2,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,1986,495,40,0,375,76,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,1986,11,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,1986,60,30,0,1,0,0,2,7,4,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,1986,315,300,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,1986,114,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,108,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,1986,150,0,0,115,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,1986,33,0,0,14,0,0,0,0,0,0,0,0,4,1,0,8,0,4,2,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,1986,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,1986,234,0,0,1,0,0,0,0,0,0,0,0,17,82,0,126,0,0,8,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,1986,1283,6,415,125,0,0,0,165,13,0,0,0,5,8,10,0,0,5,531,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,1986,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,VC,St. Vincent & Grenadines,country,Latin America and the Caribbean,12.984305,-61.287228,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
