sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,VE,Venezuela,country,Latin America and the Caribbean,6.42375,-66.58973,1986,37979,4516,0,5,249,0,59,15,1869,0,0,0,81,0,30990,195,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,VE,Venezuela,country,Latin America and the Caribbean,6.42375,-66.58973,1986,7366,6548,0,0,0,0,0,0,518,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,VE,Venezuela,country,Latin America and the Caribbean,6.42375,-66.58973,1986,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,VE,Venezuela,country,Latin America and the Caribbean,6.42375,-66.58973,1986,18471,16753,0,2,0,0,0,0,0,10,15,457,0,68,47,1,0,0,1118,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,VE,Venezuela,country,Latin America and the Caribbean,6.42375,-66.58973,1986,882,9,0,74,0,0,0,0,0,0,40,0,0,668,88,0,0,0,3,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,VE,Venezuela,country,Latin America and the Caribbean,6.42375,-66.58973,1986,80,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,VE,Venezuela,country,Latin America and the Caribbean,6.42375,-66.58973,1986,155005,124309,18522,0,11096,0,593,156,0,0,0,25,0,249,34,0,60,19,2,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,VE,Venezuela,country,Latin America and the Caribbean,6.42375,-66.58973,1986,23186,20,0,0,21578,0,0,0,646,0,0,296,0,10,0,636,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,VE,Venezuela,country,Latin America and the Caribbean,6.42375,-66.58973,1986,1948,13,0,0,0,0,40,55,2,0,13,0,3,1817,5,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,VE,Venezuela,country,Latin America and the Caribbean,6.42375,-66.58973,1986,33,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
