sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1986,42,0,0,0,0,0,0,0,0,0,2,0,8,6,0,26,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1986,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1987,70,0,0,0,0,0,0,0,0,0,3,0,15,4,0,48,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1987,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1987,73,0,0,0,0,0,0,0,2,0,0,0,0,0,0,69,0,0,2,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1988,14,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1988,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1988,6147,0,0,0,0,0,6147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1988,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1988,442,247,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,188,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1988,358,0,0,0,0,0,0,0,0,0,0,0,0,3,0,313,0,41,1,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1988,164,0,0,0,0,0,1,0,0,0,0,0,0,1,0,162,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1988,104,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1988,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,23,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1988,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1988,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1988,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,0,4,94,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1988,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1988,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1988,1127,28,0,8,0,0,0,11,1,0,0,0,1,20,0,449,0,0,609,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1988,5536,206,15,374,0,0,0,765,577,0,0,312,3,4,63,2264,0,732,221,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,VG,British Virgin Islands,country,Latin America and the Caribbean,18.420695,-64.639968,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
