sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,3623.43321360531,2006,20086,12837,57,1476,1,19,9,246,304,2,39,1990,179,515,147,634,0,926,705,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,15651.1648635073,2006,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,13287.1191870358,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,15024.3620061469,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,14635.7870851528,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,17129.4727123207,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,11232.6857497969,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,7131.78154469223,2006,207,129,0,5,0,0,18,0,1,0,0,0,0,25,25,4,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,8719.58645624131,2006,605,248,0,17,0,1,13,8,48,0,0,0,0,74,1,14,0,181,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,6629.30062702982,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,13212.2615303169,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,15334.5592539421,2006,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ET,Ethiopia,country,Sub-Saharan Africa,9.145,40.489673,VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,14186.9226423857,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,VU,Vanuatu,country,East Asia and Pacific,-15.376706,166.959158,1339.41617634808,2006,5880,4943,2,92,2,0,0,3,9,0,1,35,13,140,9,559,0,15,57,0,0,0,0,0
