sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,YE,Yemen,country,Middle East and North Africa,15.552727,48.516388,1987,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,YE,Yemen,country,Middle East and North Africa,15.552727,48.516388,1988,1981,6,0,0,0,0,0,2,291,0,0,0,0,2,0,71,0,0,1609,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,YE,Yemen,country,Middle East and North Africa,15.552727,48.516388,1988,46,10,0,0,0,0,0,0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SY,Syrian Arab Rep.,country,Middle East and North Africa,34.802075,38.996815,YE,Yemen,country,Middle East and North Africa,15.552727,48.516388,1989,298,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,2,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,YE,Yemen,country,Middle East and North Africa,15.552727,48.516388,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,YE,Yemen,country,Middle East and North Africa,15.552727,48.516388,1990,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,YE,Yemen,country,Middle East and North Africa,15.552727,48.516388,1990,21,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
PK,Pakistan,country,South Asia,30.375321,69.345116,YE,Yemen,country,Middle East and North Africa,15.552727,48.516388,1990,11743,11743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,YE,Yemen,country,Middle East and North Africa,15.552727,48.516388,1991,428699,426956,0,0,495,0,0,0,0,0,0,280,0,0,0,397,0,72,499,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,YE,Yemen,country,Middle East and North Africa,15.552727,48.516388,1991,2792,60,0,0,0,0,0,0,15,0,0,0,0,17,0,0,0,0,2700,0,0,0,0,0
