sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1986,1353,850,0,0,0,0,0,0,0,0,0,501,0,0,0,2,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1986,10438,10299,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1986,10,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1986,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1986,149,0,0,0,0,0,0,0,0,0,0,0,0,49,0,65,0,0,35,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1986,191,40,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1986,5279,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,400,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1986,44,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1986,36,6,0,0,0,0,0,0,0,0,28,0,0,2,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1986,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,14,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1986,44,4,0,0,0,0,0,7,0,0,0,29,0,0,0,4,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1986,98,2,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,76,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1986,51436,51356,0,1,0,0,0,0,0,0,2,0,10,67,0,0,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1986,1181,0,0,0,0,0,0,0,0,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1986,573,40,0,17,0,0,0,0,0,0,0,22,0,26,30,55,0,0,383,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1986,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1986,565,0,0,0,0,0,0,0,0,0,0,0,0,5,560,0,0,0,0,0,0,0,0,0
LK,Sri Lanka,country,South Asia,7.873054,80.771797,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1986,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1986,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1986,2228,1773,0,0,0,0,0,1,5,0,0,21,5,44,7,364,0,0,8,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1986,58423,45493,0,0,0,0,0,0,0,0,0,0,0,4,12862,0,16,0,64,0,0,0,0,0
BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1986,11146,10145,12,13,0,0,244,0,8,10,0,177,2,23,272,22,2,0,218,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1987,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1987,3603,3550,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1987,32220,31800,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,405,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1987,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1987,508,0,0,0,0,0,0,0,0,0,0,0,0,19,0,78,0,13,398,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1987,285,60,0,150,0,0,0,0,0,0,0,0,0,0,33,0,0,2,40,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1987,1135,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,9,51,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1987,11,4,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1987,18,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1987,276,2,0,0,253,0,0,0,0,0,0,2,0,1,0,15,0,3,0,0,0,0,0,0
KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1987,11557,11500,0,0,0,0,0,0,0,0,0,0,0,42,15,0,0,0,0,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1987,72,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1987,58,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1987,269,17,0,4,2,0,0,0,0,0,0,0,0,50,33,108,0,0,55,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1987,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,0,0,0,0,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1987,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1987,199,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1987,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1987,554,5,0,1,0,0,0,7,0,1,0,25,9,9,16,397,0,3,81,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1987,7189,0,0,0,0,0,0,0,0,0,0,0,0,2,7187,0,10,0,0,0,0,0,0,0
BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1987,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1987,33597,32895,0,63,0,0,0,13,15,0,0,78,2,26,167,26,4,1,311,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,ZM,Zambia,country,Sub-Saharan Africa,-13.133897,27.849332,1988,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
