mapName,country,landArea,arableLand,agriculturalLand,forestArea,urbanLand,urbanLand2050,degradingArea,totalPop,totalPop2050,urbanPop,otherLand,peoplePerKm,peoplePerKmUrban,peoplePerKm2050
Afghanistan,Afghanistan,652860,77849.99998,379100,13500,296.0046083,4521.323023,7658,30682500,55955350,7937870,260260,47,12,86
Albania,Albania,27400,6171,11873,7734.2,197.9045464,631.7728258,2334,2897366,2710230,1604648,7792.8,106,59,99
Algeria,Algeria,2381740,74961.99999,414316.4001,19408,3416.277262,12787.7893,63475,38186135,56461220,26543182,1948015.6,16,11,24
American Samoa,American Samoa,200,30,49,176.1,9.851265498,34.95953538,0,55302,56940,48297,-25.1,277,241,285
Andorra,Andorra,470,29,208,160,25.35121391,39.18732034,281,75902,72490,65401,102,161,139,154
Angola,Angola,1246700,49000,591900,581056,575.2766356,4988.846614,828029,23448202,65473210,9963141,73744,19,8,53
Antigua and Barb.,Antigua & Barbuda,440,40,89.99999998,98,8.557150728,32.9913737,0,89985,114470,22175,252,205,50,260
,,,,,,,,,,,,,,,
Argentina,Argentina,2736690,396990.0001,1491990,277056,11595.55471,28346.79623,902438,42538304,55444780,38902130,967644,16,14,20
Armenia,Armenia,28470,4482,16821,3316,654.489825,1717.635903,743,2992192,2728740,1884333,8333,105,66,96
Aruba,Aruba,180,20,20,4.2,13.72575094,35.47849384,0,102921,101530,43287,155.8,572,240,564
Australia,Australia,7682300,462190,3966153,1241350,9457.329752,24593.70039,1994268,23125868,33496490,20617405,2474797,3,3,4
Austria,Austria,82531,13540,31544.7,38654,2212.993742,4688.155214,28291,8479375,8845530,5586551,12332.3,103,68,107
Azerbaijan,Azerbaijan,82659,19253,47698,10869.6,716.1964181,2236.405954,2633,9416801,10963000,5094489,24091.4,114,62,133
,Bahrain,770,16,86.00000001,5.7,228.9134896,683.1403895,0,1349427,1821830,1196496,678.3,1753,1554,2366
Bangladesh,Bangladesh,130170,76780,91080,14342,1472.824985,10580.16111,68422,157157394,202209050,51473761,24748,1207,395,1553
Barbados,Barbados,430,110,140,63,31.71600098,90.8804403,0,282503,281660,89418,227,657,208,655
Belarus,Belarus,202910,55734.00001,87260.00001,85937,1575.703266,2217.884996,4053,9466000,8124860,7182517,29712.99999,47,35,40
Belgium,Belgium,30280,8160.000001,13365,6825.2,5187.888749,9049.498623,5404,11182817,12526800,10934111,10089.8,369,361,414
Belize,Belize,22810,780.0000001,1600,13763.4,41.45567515,210.7067198,3026,344193,587960,152471,7446.6,15,7,26
Benin,Benin,112760,27000,37500,44110,854.8948221,7620.766,14155,10322232,22549190,4447437,31150,92,39,200
Bermuda,Bermuda,50,3,3,10,21.57115803,35.46073048,0,65001,53570,65001,37,1300,1300,1071
Bhutan,Bhutan,38117,1002,5195.999998,27350.8,27.78873381,212.0616329,27011,754637,949990,280265,5570.200002,20,7,25
Bolivia,Bolivia,1083300,44380,376700,553420,1661.861311,6532.646838,60339,10399931,15962960,7040337,153180,10,6,15
Bosnia and Herz.,Bosnia & Herzegovina,51200,10100,21580,21850,416.3025697,971.3070221,7737,3823533,3068700,1509760,7770,75,29,60
Botswana,Botswana,566730,2720,258740,110444,267.9025818,1051.798495,97831,2176510,3388880,1239261,197546,4,2,6
Brazil,Brazil,8358140,760081,2788081,4955060,40469.34764,112184.2925,1881702,204259377,238270380,173969754,614999,24,21,29
Brunei,Brunei Darussalam,5270,49.99999998,144,3800,50.58080847,208.6748272,2663,411499,546280,315048,1326,78,60,104
Bulgaria,Bulgaria,108560,34790,49949.99999,37886,2076.959681,2583.341645,9139,7265115,5153820,5325329,20724.00001,67,49,47
Burkina Faso,Burkina Faso,273600,61999.99999,123000,54696,370.7387954,5624.331934,9255,17084554,42788780,4815452,95904,62,18,156
